Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
MacColl Offshore Windfarm (Moray East),Wind,Under Construction,353328,897834,In development,Large (1MW+)
Telford Offshore Windfarm (Moray East),Wind,Under Construction,353646,924989,In development,Large (1MW+)
Stevenson Offshore Windfarm (Moray East),Wind,Under Construction,331721,907867,In development,Large (1MW+)
Easter Tolmauds,Wind,Operational,362478,807524,Operational,Large (1MW+)
Strathy South,Wind,Awaiting Construction,279050,952050,In development,Large (1MW+)
Kincardine Offshore Windfarm,Wind,Under Construction,407766,789575,In development,Large (1MW+)
Strathallan Wind Farm,Wind,Awaiting Construction,281033,713188,In development,Large (1MW+)
Aikengall 3 Community Wind Farm,Wind,Awaiting Construction,371793,666791,In development,Large (1MW+)
Sanquhar 'Six' Community Wind Farm,Wind,Awaiting Construction,268285,606841,In development,Large (1MW+)
Deuchries Windfarm (extension),Wind,Awaiting Construction,363721,853713,In development,Large (1MW+)
Shepherd's Rig Wind Farm,Wind,Application Submitted,262319,593591,In development,Large (1MW+)
Sorbie Farm,Wind,Awaiting Construction,224637,644638,In development,Large (1MW+)
Pines Burn Wind Farm,Wind,Awaiting Construction,353795,606879,In development,Large (1MW+)
Rothes Wind Farm III,Wind,Application Submitted,321000,848000,In development,Large (1MW+)
Chirmorie Wind Farm,Wind,Awaiting Construction,222552,579875,In development,Large (1MW+)
Dell Wind Farm,Wind,Awaiting Construction,249820,806535,In development,Large (1MW+)
Kirk Hill Wind Farm,Wind,Awaiting Construction,226190,604790,In development,Large (1MW+)
Airigh Wind Farm,Wind,Awaiting Construction,176171,666802,In development,Large (1MW+)
Airies Farm,Wind,Operational,229266,548481,Operational,Large (1MW+)
Sanquhar 2 Community Wind Farm,Wind,Application Submitted,268554,603493,In development,Large (1MW+)
Viking Wind Farm (resubmission),Wind,Awaiting Construction,443800,1161960,In development,Large (1MW+)
Costa Head Wind Farm,Wind,Awaiting Construction,329920,1029790,In development,Large (1MW+)
Hesta Head Wind Farm,Wind,Awaiting Construction,346223,988155,In development,Large (1MW+)
Seagreen Phase 1 (Alpha),Wind,Awaiting Construction,404600,749300,In development,Large (1MW+)
Seagreen Phase 1 (Alpha),Wind,Awaiting Construction,404600,749300,In development,Large (1MW+)
An Suidhe,Wind,Operational,200483,707563,Operational,Large (1MW+)
Neilston Additional Wind Turbine,Wind,Awaiting Construction,245747,653929,In development,Large (1MW+)
Culterfield Windfarm (resubmission),Wind,Awaiting Construction,442000,1129500,In development,Large (1MW+)
Lochcarnan Community Windfarm,Wind,Operational,77451,828569,Operational,Large (1MW+)
Glen Kyllachy Wind Farm,Wind,Awaiting Construction,274500,827500,In development,Large (1MW+)
Limekiln Wind Farm (resubmission),Wind,Awaiting Construction,298654,961356,In development,Large (1MW+)
Clauchrie Windfarm,Wind,Application Submitted,229552,588722,In development,Large (1MW+)
Hagshaw Hill (Repowering),Wind,Awaiting Construction,282089,631116,In development,Large (1MW+)
High Constellation Wind Farm,Wind,Awaiting Construction,181000,651000,In development,Large (1MW+)
Kennoxhead Wind Farm Extension,Wind,Application Submitted,276456,625384,In development,Large (1MW+)
Inch Cape,Wind,Awaiting Construction,387786,734231,In development,Large (1MW+)
Fallago Rig,Wind,Operational,357000,660000,Operational,Large (1MW+)
Inverclyde Wind Farm (Corlic Hill),Wind,Under Construction,229563,672854,In development,Large (1MW+)
Kirkan Wind Farm,Wind,Application Submitted,245959,865205,In development,Large (1MW+)
Strathrory Wind Farm,Wind,Application Submitted,264000,877500,In development,Large (1MW+)
Rigghill Wind Farm,Wind,Application Submitted,221492,666156,In development,Large (1MW+)
Moorshield Wind Farm,Wind,Application Submitted,251966,649283,In development,Large (1MW+)
Netherton,Wind,Awaiting Construction,367378,836927,In development,Small to medium (>=45kW and <1MW)
Mountwest Wind Cluster (resubmission),Wind,Awaiting Construction,384500,828500,In development,Large (1MW+)
Aberarder Wind Farm,Wind,Awaiting Construction,264839,820696,In development,Large (1MW+)
Hill of Towie II Wind Farm,Wind,Awaiting Construction,320000,860000,In development,Large (1MW+)
Blary Hill Wind Farm,Wind,Under Construction,170381,636538,In development,Large (1MW+)
Arecleoch Wind Farm (extension),Wind,Application Submitted,221500,578500,In development,Large (1MW+)
Cloiche Wind Farm,Wind,Application Submitted,246861,813520,In development,Large (1MW+)
Greenburn Wind Park,Wind,Application Submitted,256423,614614,In development,Large (1MW+)
Lethans Wind Farm (resubmission),Wind,Awaiting Construction,268331,616048,In development,Large (1MW+)
Kype Muir Wind Farm Extension,Wind,Under Construction,271915,639557,In development,Large (1MW+)
Dalquhandy Windfarm,Wind,Awaiting Construction,214836,591232,In development,Large (1MW+)
Lairg Wind Farm Extension (Lairg 2),Wind,Awaiting Construction,259717,902222,In development,Large (1MW+)
Hill Of Lychrobbie,Wind,Awaiting Construction,316974,932057,In development,Large (1MW+)
Gordonbush (extension),Wind,Under Construction,284604,912697,In development,Large (1MW+)
Hill of Towie (Drummuir),Wind,Operational,320000,860000,Operational,Large (1MW+)
Creag Riabhach Wind Farm,Wind,Awaiting Construction,252589,928364,In development,Large (1MW+)
"Aikengall II, Wester Dod Community Wind Farm",Wind,Operational,369468,669455,Operational,Large (1MW+)
Kennoxhead Wind Farm,Wind,Awaiting Construction,277147,624403,In development,Large (1MW+)
Balmurrie Fell Wind Farm,Wind,Operational,238626,555982,Operational,Large (1MW+)
Strathy Wood,Wind,Application Submitted,282146,955604,In development,Large (1MW+)
Faw Side Community Wind Farm,Wind,Application Submitted,335000,596000,In development,Large (1MW+)
Stornoway Wind Farm (second resubmission),Wind,Application Submitted,142695,934003,In development,Large (1MW+)
Beinn an Tuirc Windfarm Phase 3,Wind,Under Construction,172270,633925,In development,Large (1MW+)
Uisenis/Eishken (Muaitheabhal) (Southern Extension),Wind,Awaiting Construction,128788,911062,In development,Large (1MW+)
Uisenis/Eishken (Muaitheabhal) (East Extension),Wind,Awaiting Construction,132947,913350,In development,Large (1MW+)
Uisenis/Eishken (Muaitheabhal) Wind Farm,Wind,Awaiting Construction,126600,913600,In development,Large (1MW+)
Halsary Wind Farm,Wind,Under Construction,315749,950081,In development,Large (1MW+)
Druim Leathann (resubmission),Wind,Awaiting Construction,151403,947774,In development,Large (1MW+)
Tangy 4 Wind Farm,Wind,Awaiting Construction,168500,628500,In development,Large (1MW+)
Stranoch Wind Farm,Wind,Awaiting Construction,215493,571022,In development,Large (1MW+)
Braemore,Wind,Awaiting Construction,255325,900934,In development,Large (1MW+)
Eascairt Wind Farm,Wind,Awaiting Construction,183500,655000,In development,Large (1MW+)
Whitelaw Brae Wind Farm,Wind,Awaiting Construction,306039,621476,In development,Large (1MW+)
North Hoo Fields,Wind,Awaiting Construction,445388,1142745,In development,Small to medium (>=45kW and <1MW)
Brackenhills Farm (resubmission),Wind,Awaiting Construction,358303,859511,In development,Large (1MW+)
Green Burn Wind Farm,Wind,Awaiting Construction,315871,755635,In development,Large (1MW+)
Hartwood Windfarm,Wind,Awaiting Construction,284792,659236,In development,Large (1MW+)
