Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory,longitude,latitude
Orkney Storage Park Project,Other,Operational,344780.0,1011192.0,Operational,Large (1MW+),-2.962441016406223,58.984278417681566
Northern Isles New Energy Solution (NINES) 1,Other,Operational,446456.0,1142794.0,Operational,Large (1MW+),-1.164723837186193,60.16697392667298
Isle of Eigg Electrification Project,Other,Operational,147908.0,786328.0,Operational,Small to medium (>=45kW and <1MW),-6.141594196110796,56.89950307298301
Billia Croo Wave Test Site (Extension),Wave Power,Application Submitted,323401.0,983560.0,In development,Large (1MW+),-3.324774288698439,58.73289138139117
Wello Penguin Device (Billia Croo - EMEC),Wave Power,Operational,323401.0,983560.0,Operational,Large (1MW+),-3.324774288698439,58.73289138139117
Douglas West Wind Farm (extension),Wind,Application Submitted,280968.0,634257.0,In development,Large (1MW+),-3.89009302693149,55.587357376274035
Hammars Hill Wind Farm Extension,Wind,Awaiting Construction,337526.0,1022979.0,In development,Large (1MW+),-3.0919725312881376,59.08911168047928
Lower Rumster,Wind,Awaiting Construction,321714.0,936327.0,In development,Small to medium (>=45kW and <1MW),-3.3376583623609357,58.308501858144744
"Land near Tacher, Latheron",Wind,Awaiting Construction,317290.0,946869.0,In development,Large (1MW+),-3.416915944885344,58.402341771694424
Ben Sca,Wind,Awaiting Construction,133545.0,847925.0,In development,Large (1MW+),-6.442525618813219,57.4431566929917
Isle of Luing Wind Farm,Wind,Awaiting Construction,174143.0,707638.0,In development,Small to medium (>=45kW and <1MW),-5.6432981531230535,56.207552606316405
Pauls Hill 2,Wind,Awaiting Construction,311500.0,840500.0,In development,Large (1MW+),-3.476206038064338,57.446137603900624
Limekiln Wind Farm (Extension),Wind,Application Submitted,300298.0,961309.0,In development,Large (1MW+),-3.7138204825449543,58.52842709672046
West Dykes,Wind,Awaiting Construction,266058.0,639006.0,In development,Large (1MW+),-4.128786805035701,55.626124022308055
Troston Loch,Wind,Awaiting Construction,268466.0,590107.0,In development,Large (1MW+),-4.067511457054663,55.187691683743495
Ackron Wind Farm Wind Farm,Wind,Application Submitted,291200.0,962500.0,In development,Large (1MW+),-3.870531101297402,58.53693779564789
